object,color,cand_idx,path,object_raw,color_raw,object_predicted,color_predicted,verdict,rejection_reason
apple,green,8,apple/green/cand_008.png,chips,green,unmatched,green,rejected,object
flower,red,6,flower/red/cand_006.png,poppy,red,unmatched,red,rejected,object
flower,pink,10,flower/pink/cand_010.png,tree,pink,unmatched,pink,rejected,object
flower,purple,4,flower/purple/cand_004.png,Tamagotchi,pink,unmatched,pink,rejected,both
flower,blue,8,flower/blue/cand_008.png,flower,black,flower,black,rejected,color
flower,blue,9,flower/blue/cand_009.png,tiara,blue,unmatched,blue,rejected,object
flower,blue,10,flower/blue/cand_010.png,shirt,blue,unmatched,blue,rejected,object
flower,purple,6,flower/purple/cand_006.png,pillow,purple,unmatched,purple,rejected,object
apple,green,10,apple/green/cand_010.png,knife,green,unmatched,green,rejected,object
ball,red,1,ball/red/cand_001.png,ornament,red,unmatched,red,rejected,object
flower,white,10,flower/white/cand_010.png,sign,white,unmatched,white,rejected,object
flower,white,11,flower/white/cand_011.png,slipper,blue,unmatched,blue,rejected,both
flower,pink,11,flower/pink/cand_011.png,vase,pink,unmatched,pink,rejected,object
flower,pink,12,flower/pink/cand_012.png,bedding,gold,unmatched,yellow,rejected,both
flower,purple,7,flower/purple/cand_007.png,phone case,purple,unmatched,purple,rejected,object
apple,green,13,apple/green/cand_013.png,bowl,green,unmatched,green,rejected,object
flower,orange,2,flower/orange/cand_002.png,lily,orange,unmatched,orange,rejected,object
flower,pink,13,flower/pink/cand_013.png,card,pink,unmatched,pink,rejected,object
chalkboard,black,0,chalkboard/black/cand_000.png,Christmas tree,black,unmatched,black,rejected,object
flower,red,7,flower/red/cand_007.png,hat,red,unmatched,red,rejected,object
flower,red,8,flower/red/cand_008.png,cactus,red,unmatched,red,rejected,object
apple,red,9,apple/red/cand_009.png,apples,green,apple,green,rejected,color
flower,red,10,flower/red/cand_010.png,curtain,pink,unmatched,pink,rejected,both
flower,blue,13,flower/blue/cand_013.png,chair,blue,chair,blue,rejected,object
flower,white,13,flower/white/cand_013.png,sandals,white,unmatched,white,rejected,object
flower,purple,9,flower/purple/cand_009.png,apron,purple,unmatched,purple,rejected,object
flower,red,11,flower/red/cand_011.png,dress,red,unmatched,red,rejected,object
flower,red,12,flower/red/cand_012.png,bedding,pink,unmatched,pink,rejected,both
flower,purple,10,flower/purple/cand_010.png,orchid,purple,unmatched,purple,rejected,object
flower,red,13,flower/red/cand_013.png,earrings,red,unmatched,red,rejected,object
car,green,1,car/green/cand_001.png,battery,black,unmatched,black,rejected,both
flower,orange,3,flower/orange/cand_003.png,orange,orange,unmatched,orange,rejected,object
flower,red,14,flower/red/cand_014.png,purse,red,bag,red,rejected,object
ball,yellow,0,ball/yellow/cand_000.png,bag,yellow,bag,yellow,rejected,object
ball,yellow,1,ball/yellow/cand_001.png,dog,yellow,dog,yellow,rejected,object
chalkboard,black,1,chalkboard/black/cand_001.png,clipboard,black,unmatched,black,rejected,object
apple,red,11,apple/red/cand_011.png,lunchbox,red,unmatched,red,rejected,object
flower,purple,11,flower/purple/cand_011.png,scarf,black,unmatched,black,rejected,both
flower,blue,14,flower/blue/cand_014.png,skirt,blue,unmatched,blue,rejected,object
flower,purple,12,flower/purple/cand_012.png,cat,purple,unmatched,purple,rejected,object
flower,orange,4,flower/orange/cand_004.png,pincushion,orange,unmatched,orange,rejected,object
chalkboard,black,2,chalkboard/black/cand_002.png,Tea,black,unmatched,black,rejected,object
flower,purple,13,flower/purple/cand_013.png,vase,pink,unmatched,pink,rejected,both
ball,red,2,ball/red/cand_002.png,gag,red,unmatched,red,rejected,object
car,blue,5,car/blue/cand_005.png,Lamborghini,gray,unmatched,unmatched,rejected,both
ball,red,3,ball/red/cand_003.png,ornament,red,unmatched,red,rejected,object
ball,yellow,2,ball/yellow/cand_002.png,dress,yellow,unmatched,yellow,rejected,object
flower,orange,7,flower/orange/cand_007.png,flower,pink,flower,pink,rejected,color
bag,brown,4,bag/brown/cand_004.png,coat,orange,unmatched,orange,rejected,both
car,blue,9,car/blue/cand_009.png,tote bag,blue,bag,blue,rejected,object
car,green,2,car/green/cand_002.png,snowmobile,green,unmatched,green,rejected,object
car,blue,10,car/blue/cand_010.png,car,silver,car,unmatched,rejected,color
chalkboard,black,3,chalkboard/black/cand_003.png,pencils,black,unmatched,black,rejected,object
ball,red,5,ball/red/cand_005.png,cricket,red,unmatched,red,rejected,object
ball,red,6,ball/red/cand_006.png,kitten,red,unmatched,red,rejected,object
car,green,3,car/green/cand_003.png,car,blue,car,blue,rejected,color
bag,brown,8,bag/brown/cand_008.png,lunch,brown,unmatched,brown,rejected,object
ball,red,7,ball/red/cand_007.png,ornament,red,unmatched,red,rejected,object
banana,red,1,banana/red/cand_001.png,dog,none,dog,unmatched,rejected,both
chalkboard,black,4,chalkboard/black/cand_004.png,coffee,black,unmatched,black,rejected,object
bag,brown,9,bag/brown/cand_009.png,organ,brown,unmatched,brown,rejected,object
ball,yellow,3,ball/yellow/cand_003.png,dress,yellow,unmatched,yellow,rejected,object
chalkboard,black,5,chalkboard/black/cand_005.png,text,black,unmatched,black,rejected,object
car,pink,2,car/pink/cand_002.png,stroller,black,unmatched,black,rejected,both
bag,brown,10,bag/brown/cand_010.png,book,blue,unmatched,blue,rejected,both
chalkboard,black,6,chalkboard/black/cand_006.png,pizza,black,unmatched,black,rejected,object
chalkboard,black,7,chalkboard/black/cand_007.png,chessboard,black,unmatched,black,rejected,object
flower,orange,10,flower/orange/cand_010.png,cupcake,orange,unmatched,orange,rejected,object
car,green,4,car/green/cand_004.png,car,silver,car,unmatched,rejected,color
ball,red,9,ball/red/cand_009.png,ornament,red,unmatched,red,rejected,object
ball,red,10,ball/red/cand_010.png,putter,red,unmatched,red,rejected,object
ball,red,11,ball/red/cand_011.png,chair,white,chair,white,rejected,both
ball,red,12,ball/red/cand_012.png,yarn,red,unmatched,red,rejected,object
bag,brown,11,bag/brown/cand_011.png,bag,gold,bag,yellow,rejected,color
