object,color,seed,path,human_consensus_binding,vlm_binding,vlm_agrees_with_consensus
chalkboard,blue,0,chalkboard/blue/seed_0000.png,0,1,0
chalkboard,blue,21,chalkboard/blue/seed_0021.png,0,0,1
chalkboard,brown,21,chalkboard/brown/seed_0021.png,1,0,0
chalkboard,brown,23,chalkboard/brown/seed_0023.png,0,0,1
chalkboard,brown,3,chalkboard/brown/seed_0003.png,0,0,1
chalkboard,green,17,chalkboard/green/seed_0017.png,1,1,1
chalkboard,green,28,chalkboard/green/seed_0028.png,0,0,1
chalkboard,orange,20,chalkboard/orange/seed_0020.png,0,0,1
chalkboard,orange,8,chalkboard/orange/seed_0008.png,1,0,0
chalkboard,pink,10,chalkboard/pink/seed_0010.png,0,0,1
chalkboard,pink,3,chalkboard/pink/seed_0003.png,0,0,1
chalkboard,pink,9,chalkboard/pink/seed_0009.png,0,0,1
chalkboard,purple,13,chalkboard/purple/seed_0013.png,0,0,1
chalkboard,purple,14,chalkboard/purple/seed_0014.png,0,0,1
chalkboard,purple,5,chalkboard/purple/seed_0005.png,0,0,1
chalkboard,red,0,chalkboard/red/seed_0000.png,0,0,1
chalkboard,red,23,chalkboard/red/seed_0023.png,0,0,1
chalkboard,red,28,chalkboard/red/seed_0028.png,0,0,1
chalkboard,white,16,chalkboard/white/seed_0016.png,0,0,1
chalkboard,white,23,chalkboard/white/seed_0023.png,0,0,1
chalkboard,white,8,chalkboard/white/seed_0008.png,0,0,1
chalkboard,yellow,16,chalkboard/yellow/seed_0016.png,0,0,1
chalkboard,yellow,24,chalkboard/yellow/seed_0024.png,0,0,1
chalkboard,yellow,5,chalkboard/yellow/seed_0005.png,0,0,1
dog,black,27,dog/black/seed_0027.png,1,1,1
dog,black,29,dog/black/seed_0029.png,1,1,1
dog,black,3,dog/black/seed_0003.png,1,1,1
dog,blue,20,dog/blue/seed_0020.png,1,1,1
dog,blue,26,dog/blue/seed_0026.png,1,1,1
dog,blue,9,dog/blue/seed_0009.png,1,1,1
dog,brown,16,dog/brown/seed_0016.png,1,1,1
dog,brown,19,dog/brown/seed_0019.png,1,1,1
dog,brown,20,dog/brown/seed_0020.png,1,1,1
dog,green,11,dog/green/seed_0011.png,0,0,1
dog,green,4,dog/green/seed_0004.png,1,1,1
dog,green,6,dog/green/seed_0006.png,0,0,1
dog,orange,17,dog/orange/seed_0017.png,1,1,1
dog,orange,24,dog/orange/seed_0024.png,1,1,1
dog,orange,5,dog/orange/seed_0005.png,1,1,1
dog,pink,16,dog/pink/seed_0016.png,1,1,1
dog,pink,24,dog/pink/seed_0024.png,1,1,1
dog,pink,29,dog/pink/seed_0029.png,0,0,1
dog,purple,0,dog/purple/seed_0000.png,0,0,1
dog,purple,19,dog/purple/seed_0019.png,1,1,1
dog,purple,29,dog/purple/seed_0029.png,0,0,1
dog,red,0,dog/red/seed_0000.png,1,0,0
dog,red,10,dog/red/seed_0010.png,1,1,1
dog,white,11,dog/white/seed_0011.png,1,1,1
dog,white,29,dog/white/seed_0029.png,1,1,1
dog,white,3,dog/white/seed_0003.png,1,1,1
dog,yellow,25,dog/yellow/seed_0025.png,1,1,1
dog,yellow,28,dog/yellow/seed_0028.png,1,0,0
flower,black,1,flower/black/seed_0001.png,0,0,1
flower,black,7,flower/black/seed_0007.png,1,1,1
flower,black,9,flower/black/seed_0009.png,1,1,1
flower,blue,18,flower/blue/seed_0018.png,1,1,1
flower,blue,7,flower/blue/seed_0007.png,1,1,1
flower,brown,2,flower/brown/seed_0002.png,0,0,1
flower,brown,23,flower/brown/seed_0023.png,1,0,0
flower,green,2,flower/green/seed_0002.png,1,1,1
flower,green,24,flower/green/seed_0024.png,1,1,1
flower,green,26,flower/green/seed_0026.png,1,1,1
flower,orange,17,flower/orange/seed_0017.png,1,1,1
flower,orange,24,flower/orange/seed_0024.png,1,1,1
flower,orange,4,flower/orange/seed_0004.png,1,1,1
flower,pink,15,flower/pink/seed_0015.png,1,1,1
flower,pink,21,flower/pink/seed_0021.png,1,1,1
flower,pink,4,flower/pink/seed_0004.png,1,1,1
flower,purple,17,flower/purple/seed_0017.png,1,1,1
flower,purple,5,flower/purple/seed_0005.png,1,1,1
flower,purple,8,flower/purple/seed_0008.png,1,1,1
flower,red,16,flower/red/seed_0016.png,1,1,1
flower,red,19,flower/red/seed_0019.png,1,1,1
flower,red,27,flower/red/seed_0027.png,1,1,1
flower,white,13,flower/white/seed_0013.png,1,1,1
flower,white,29,flower/white/seed_0029.png,1,1,1
flower,white,6,flower/white/seed_0006.png,1,1,1
flower,yellow,17,flower/yellow/seed_0017.png,1,0,0
flower,yellow,23,flower/yellow/seed_0023.png,1,1,1
flower,yellow,24,flower/yellow/seed_0024.png,1,1,1
frog,black,22,frog/black/seed_0022.png,1,1,1
frog,black,6,frog/black/seed_0006.png,1,1,1
frog,black,9,frog/black/seed_0009.png,1,1,1
frog,blue,12,frog/blue/seed_0012.png,1,1,1
frog,blue,20,frog/blue/seed_0020.png,1,1,1
frog,brown,11,frog/brown/seed_0011.png,1,1,1
frog,brown,14,frog/brown/seed_0014.png,1,1,1
frog,green,14,frog/green/seed_0014.png,1,1,1
frog,green,16,frog/green/seed_0016.png,1,1,1
frog,green,3,frog/green/seed_0003.png,1,1,1
frog,orange,10,frog/orange/seed_0010.png,1,1,1
frog,orange,2,frog/orange/seed_0002.png,1,1,1
frog,orange,7,frog/orange/seed_0007.png,1,1,1
frog,pink,0,frog/pink/seed_0000.png,0,0,1
frog,pink,17,frog/pink/seed_0017.png,1,1,1
frog,pink,18,frog/pink/seed_0018.png,1,1,1
frog,purple,0,frog/purple/seed_0000.png,1,1,1
frog,purple,18,frog/purple/seed_0018.png,1,1,1
frog,purple,7,frog/purple/seed_0007.png,1,1,1
frog,red,2,frog/red/seed_0002.png,0,0,1
frog,white,1,frog/white/seed_0001.png,1,1,1
frog,white,2,frog/white/seed_0002.png,1,1,1
frog,white,7,frog/white/seed_0007.png,1,1,1
frog,yellow,1,frog/yellow/seed_0001.png,1,1,1
frog,yellow,27,frog/yellow/seed_0027.png,1,1,1
frog,yellow,28,frog/yellow/seed_0028.png,1,1,1
polar bear,black,10,polar_bear/black/seed_0010.png,1,1,1
polar bear,black,16,polar_bear/black/seed_0016.png,1,1,1
polar bear,black,2,polar_bear/black/seed_0002.png,1,1,1
polar bear,blue,21,polar_bear/blue/seed_0021.png,0,0,1
polar bear,blue,7,polar_bear/blue/seed_0007.png,0,0,1
polar bear,blue,8,polar_bear/blue/seed_0008.png,0,0,1
polar bear,brown,15,polar_bear/brown/seed_0015.png,0,0,1
polar bear,brown,6,polar_bear/brown/seed_0006.png,0,0,1
polar bear,green,29,polar_bear/green/seed_0029.png,1,0,0
polar bear,green,4,polar_bear/green/seed_0004.png,1,1,1
polar bear,orange,15,polar_bear/orange/seed_0015.png,0,0,1
polar bear,orange,18,polar_bear/orange/seed_0018.png,0,0,1
polar bear,pink,15,polar_bear/pink/seed_0015.png,0,0,1
polar bear,pink,25,polar_bear/pink/seed_0025.png,0,0,1
polar bear,pink,7,polar_bear/pink/seed_0007.png,0,0,1
polar bear,purple,13,polar_bear/purple/seed_0013.png,0,0,1
polar bear,purple,25,polar_bear/purple/seed_0025.png,0,0,1
polar bear,purple,6,polar_bear/purple/seed_0006.png,0,0,1
polar bear,red,13,polar_bear/red/seed_0013.png,1,0,0
polar bear,red,21,polar_bear/red/seed_0021.png,1,1,1
polar bear,red,3,polar_bear/red/seed_0003.png,0,0,1
polar bear,white,11,polar_bear/white/seed_0011.png,1,1,1
polar bear,white,13,polar_bear/white/seed_0013.png,1,1,1
polar bear,white,14,polar_bear/white/seed_0014.png,1,1,1
polar bear,yellow,27,polar_bear/yellow/seed_0027.png,1,0,0
shoe,black,20,shoe/black/seed_0020.png,1,1,1
shoe,black,21,shoe/black/seed_0021.png,1,1,1
shoe,black,3,shoe/black/seed_0003.png,1,1,1
shoe,blue,1,shoe/blue/seed_0001.png,1,1,1
shoe,blue,12,shoe/blue/seed_0012.png,1,1,1
shoe,blue,23,shoe/blue/seed_0023.png,1,1,1
shoe,brown,10,shoe/brown/seed_0010.png,1,1,1
shoe,brown,25,shoe/brown/seed_0025.png,1,1,1
shoe,brown,27,shoe/brown/seed_0027.png,1,1,1
shoe,green,3,shoe/green/seed_0003.png,1,1,1
shoe,green,6,shoe/green/seed_0006.png,1,1,1
shoe,green,7,shoe/green/seed_0007.png,1,1,1
shoe,orange,14,shoe/orange/seed_0014.png,1,1,1
shoe,orange,17,shoe/orange/seed_0017.png,1,1,1
shoe,orange,6,shoe/orange/seed_0006.png,1,1,1
shoe,pink,13,shoe/pink/seed_0013.png,1,1,1
shoe,pink,4,shoe/pink/seed_0004.png,1,1,1
shoe,pink,5,shoe/pink/seed_0005.png,1,1,1
shoe,purple,14,shoe/purple/seed_0014.png,1,1,1
shoe,purple,7,shoe/purple/seed_0007.png,1,1,1
shoe,purple,8,shoe/purple/seed_0008.png,1,1,1
shoe,red,2,shoe/red/seed_0002.png,1,1,1
shoe,red,27,shoe/red/seed_0027.png,1,1,1
shoe,red,29,shoe/red/seed_0029.png,1,1,1
shoe,white,14,shoe/white/seed_0014.png,1,1,1
shoe,white,27,shoe/white/seed_0027.png,1,1,1
shoe,yellow,17,shoe/yellow/seed_0017.png,1,1,1
shoe,yellow,27,shoe/yellow/seed_0027.png,1,1,1
shoe,yellow,3,shoe/yellow/seed_0003.png,1,1,1
